origin_zone,total,Hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
209,295,0,0,0,0,1,6,16,19,18,12,17,15,24,17,18,18,21,17,15,22,19,14,6,0
210,218,0,0,0,0,1,7,5,8,16,13,12,13,15,6,17,5,22,21,22,9,14,8,4,0
211,90,0,0,0,0,0,3,7,11,8,3,5,4,4,5,3,8,5,6,9,3,2,2,2,0
212,45,0,0,0,0,0,1,5,3,4,4,3,1,0,2,0,1,5,4,3,3,3,3,0,0
213,623,0,0,0,0,6,9,17,34,45,45,41,58,51,42,65,30,48,38,23,27,19,12,10,3
214,241,0,0,0,0,2,10,16,21,25,15,12,14,6,11,10,10,13,23,14,11,8,11,5,4
215,179,0,0,0,0,0,5,14,14,11,13,14,12,5,13,9,18,12,15,9,5,2,7,1,0
216,62,0,0,0,0,0,6,7,6,8,3,3,2,3,4,1,5,4,3,3,1,2,1,0,0
217,66,0,0,0,0,0,3,6,7,4,5,6,5,0,2,3,6,4,3,5,2,1,2,2,0
218,324,0,0,0,0,2,14,27,33,23,26,22,12,19,16,16,17,22,24,16,9,10,9,5,2
219,36,0,0,0,0,1,5,2,3,4,3,1,2,1,2,2,2,2,0,2,1,2,1,0,0
220,38,0,0,0,0,0,1,1,3,4,2,0,0,2,4,2,3,3,4,2,5,0,1,0,1
221,129,0,0,0,0,0,2,1,3,9,6,3,7,9,8,8,12,19,19,6,8,4,3,2,0
222,34,0,0,0,0,0,0,1,0,0,2,2,1,2,4,1,3,4,6,4,2,1,0,1,0
223,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,2,0,1,0,0,0,0
224,60,0,0,0,0,0,0,0,2,4,3,2,4,7,5,4,5,5,8,3,2,2,2,1,1
225,113,0,0,0,0,0,2,4,12,6,7,5,7,9,6,3,8,10,15,8,3,5,2,1,0
226,91,0,0,0,0,3,6,2,5,2,1,11,4,5,3,9,14,10,5,4,4,2,0,0,1
227,44,0,0,0,0,0,1,4,3,2,0,5,4,2,2,6,3,4,4,1,1,0,0,1,1
228,27,0,0,0,0,0,0,1,0,1,0,0,2,4,1,3,3,1,1,1,1,4,4,0,0
229,174,0,0,0,0,0,2,8,15,14,14,9,19,11,10,4,7,11,9,15,12,8,5,1,0
230,63,0,0,0,0,0,1,2,5,3,5,6,2,2,3,5,4,8,4,4,2,4,3,0,0
301,113,0,0,0,0,1,5,11,11,9,4,7,6,7,2,5,6,9,7,5,8,6,3,1,0
302,193,0,0,0,0,2,3,11,15,11,12,11,12,16,12,14,13,15,10,11,11,6,7,1,0
303,10,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0
304,353,0,0,0,0,2,17,32,41,18,26,16,22,23,13,15,14,21,27,11,23,15,12,5,0
305,150,0,0,0,0,3,2,8,10,10,8,8,9,12,6,6,8,13,14,8,13,3,4,4,1
306,45,0,0,0,0,1,1,1,3,2,3,3,3,7,2,2,1,6,3,2,2,1,2,0,0
307,67,0,0,0,0,0,6,5,8,9,2,2,3,3,4,5,5,3,4,1,2,3,2,0,0
308,123,0,0,0,0,0,8,14,11,10,8,7,6,4,5,9,7,5,10,9,3,3,3,1,0
309,332,0,0,0,0,1,9,29,40,19,18,22,22,21,19,23,16,17,23,17,7,15,10,4,0
310,227,0,0,0,0,0,3,14,21,11,11,10,10,15,16,27,22,10,17,13,10,8,7,2,0
311,129,0,0,0,0,1,1,11,7,12,11,8,5,9,9,10,3,5,10,11,4,3,6,3,0
312,164,0,0,0,0,1,5,13,14,19,13,7,8,11,13,9,6,8,10,8,6,3,9,1,0
313,60,0,0,0,0,0,0,5,9,7,4,3,2,6,3,4,5,1,4,3,2,1,0,1,0
314,11,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,3,1,0,0,0,0,0,1,0
315,82,0,0,0,0,0,5,7,8,5,8,3,7,3,6,4,5,5,5,3,1,1,4,2,0
316,158,0,0,0,0,0,4,8,17,12,8,9,5,11,17,10,7,11,14,4,11,5,2,3,0
317,27,0,0,0,0,0,1,0,0,2,1,2,2,1,0,1,4,1,5,2,1,2,1,1,0
318,154,0,0,0,0,1,3,3,5,11,6,9,9,9,14,14,14,11,15,13,5,8,3,1,0
319,37,0,0,0,0,0,0,1,4,2,2,1,1,1,3,1,2,5,3,3,1,5,2,0,0
320,39,0,0,0,0,0,0,3,3,3,2,5,5,0,1,3,1,2,4,3,0,0,2,2,0
321,76,0,0,0,0,1,4,6,7,3,3,2,6,5,3,3,6,6,8,3,5,3,2,0,0
322,57,0,0,0,0,0,3,4,5,4,3,3,5,1,4,4,4,1,4,2,4,3,2,1,0
323,183,0,0,0,0,0,3,7,13,6,8,9,7,14,13,12,19,14,14,20,6,10,5,2,1
324,251,0,0,0,0,1,4,22,15,17,13,13,12,12,17,21,16,14,17,18,10,11,10,7,1
325,192,0,0,0,0,2,4,8,3,9,7,13,19,12,13,12,13,15,24,16,7,7,4,2,2
326,20,0,0,0,0,1,1,0,1,0,2,1,4,1,0,1,0,2,1,3,0,0,2,0,0
327,18,0,0,0,0,3,0,1,2,0,1,1,4,0,1,1,1,2,1,0,0,0,0,0,0
328,181,0,0,0,0,1,10,15,13,17,10,15,15,12,8,5,9,8,13,7,11,6,2,4,0
329,64,0,0,0,0,0,5,7,5,3,3,5,3,5,3,2,3,3,4,6,4,2,1,0,0
330,74,0,0,0,0,0,5,5,8,9,8,4,4,1,5,4,2,6,5,4,2,0,2,0,0
331,11,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,2,1,1,0,0,0,0,0
332,83,0,0,0,0,1,1,0,4,3,4,4,6,1,6,7,6,8,9,6,5,4,6,2,0
333,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
334,71,0,0,0,0,0,5,7,12,3,5,5,6,2,4,3,3,4,2,4,2,1,0,3,0
335,78,0,0,0,0,1,0,7,6,3,8,4,7,4,6,3,4,3,6,4,4,2,4,2,0
336,50,0,0,0,0,0,2,7,7,5,3,3,4,1,1,2,1,3,4,1,2,1,2,1,0
337,17,0,0,0,0,0,1,0,3,1,0,2,1,2,0,0,1,1,1,0,2,1,0,1,0
338,40,0,0,0,0,0,2,5,1,3,4,2,2,0,3,3,1,1,2,3,5,1,2,0,0
339,31,0,0,0,0,0,1,0,1,2,1,2,1,3,2,1,4,1,3,4,1,0,1,2,1
340,237,0,0,0,0,4,2,16,24,25,17,14,10,11,9,12,14,18,13,19,11,8,5,5,0
341,100,0,0,0,0,4,3,4,11,7,3,3,8,5,8,3,7,10,4,8,5,2,3,2,0
342,214,0,0,0,0,0,2,16,18,20,21,15,12,14,6,16,16,12,12,11,10,6,3,3,1
343,24,0,0,0,0,0,0,1,2,6,0,2,0,0,2,3,1,0,1,2,0,2,1,1,0
344,157,0,0,0,0,0,6,14,17,8,12,9,9,11,5,5,8,12,17,5,5,7,4,3,0
345,52,0,0,0,0,0,0,2,1,4,2,2,3,3,8,1,7,4,4,5,1,2,3,0,0
346,106,0,0,0,0,0,2,4,4,5,6,6,1,15,8,9,3,5,18,10,6,1,1,2,0
