origin_zone,total,HW,WH,HO,OH,OW,HH,OO,WW,WO
391,54,3,1,10,7,4,10,18,0,1
392,17,1,2,1,0,0,3,7,1,2
393,20,2,0,2,3,2,3,6,0,2
394,66,2,11,4,15,2,5,16,5,6
395,6,0,0,1,1,0,0,3,0,1
396,27,2,2,3,3,0,14,3,0,0
397,12,0,0,3,2,0,6,0,0,1
398,16,1,1,1,4,0,6,2,1,0
399,26,0,1,1,4,1,2,15,0,2
400,11,1,0,4,1,0,2,2,1,0
401,21,1,1,5,3,0,8,1,1,1
402,17,2,1,4,0,0,6,4,0,0
403,14,1,1,1,0,0,6,2,2,1
404,21,4,0,4,3,1,6,3,0,0
405,3,1,0,1,1,0,0,0,0,0
406,28,3,1,7,3,0,10,3,1,0
407,4,0,0,0,0,0,2,2,0,0
408,3,1,0,0,0,0,0,2,0,0
409,20,1,0,6,0,0,10,1,1,1
410,74,10,2,15,2,2,25,15,2,1
411,39,4,2,7,1,0,9,14,1,1
412,20,7,0,2,0,0,4,5,0,2
413,167,31,5,48,9,5,26,37,3,3
414,45,8,4,8,3,1,10,6,3,2
415,15,4,0,3,1,0,4,3,0,0
416,43,3,1,12,6,1,8,9,1,2
417,5,1,0,1,1,0,1,1,0,0
418,27,3,2,6,3,0,7,6,0,0
419,16,2,0,5,0,0,5,4,0,0
420,40,10,1,10,1,0,7,11,0,0
421,7,1,0,3,0,0,0,2,0,1
422,7,1,1,3,0,0,1,1,0,0
423,10,0,1,0,0,1,6,2,0,0
424,172,27,9,46,11,10,23,30,5,11
425,162,32,7,37,17,2,21,39,1,6
426,59,6,2,21,6,1,8,10,1,4
427,75,7,4,14,12,3,10,22,0,3
428,144,16,5,40,14,4,30,26,3,6
429,37,5,4,8,2,0,8,3,2,5
430,122,10,12,39,13,3,14,24,5,2
431,16,4,0,1,3,1,1,6,0,0
432,206,39,10,47,20,3,26,50,4,7
433,115,10,3,28,8,4,27,32,0,3
434,32,1,7,2,3,0,7,10,1,1
435,30,8,4,0,2,1,1,9,1,4
436,7,0,1,1,0,0,3,2,0,0
437,185,14,18,18,23,12,19,63,6,12
438,40,4,2,3,3,2,5,17,0,4
439,144,8,29,13,15,9,6,42,3,19
440,88,2,12,7,8,10,4,33,1,11
441,113,13,9,22,9,3,17,32,1,7
442,47,2,2,5,4,3,7,15,4,5
443,242,10,33,24,39,7,14,79,6,30
444,30,2,2,3,1,0,6,5,6,5
445,155,12,7,21,19,7,12,66,0,11
446,73,3,5,10,7,5,4,28,2,9
447,105,8,8,10,20,3,8,36,5,7
448,233,14,30,17,34,11,11,86,1,29
449,55,10,11,3,11,1,1,13,0,5
