origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total1,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
103,75,0,0,0,0,0,3,2,4,4,4,7,4,5,5,5,5,7,5,3,4,4,0,3,1,103,80,0,0,0,0,0,0,3,5,4,6,8,4,4,5,4,8,4,8,6,5,0,4,1,1
104,21,0,0,0,0,1,0,0,1,3,1,1,0,0,1,2,1,1,3,0,1,2,0,3,0,104,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,4,2,1,1,2,0,3
105,162,0,0,0,0,2,2,3,4,5,8,12,7,10,12,10,18,24,27,8,3,2,3,1,1,105,148,0,0,0,0,0,3,6,8,16,10,21,12,9,9,11,7,8,11,3,5,3,3,2,1
106,114,0,0,0,0,2,1,1,4,5,4,6,7,7,11,5,15,9,12,13,2,5,2,3,0,106,103,0,0,0,0,0,1,1,9,11,7,3,12,8,10,10,8,5,9,4,1,2,2,0,0
107,13,0,0,0,0,0,0,0,1,1,1,2,1,0,1,2,1,1,1,1,0,0,0,0,0,107,19,0,0,0,0,0,0,0,0,2,1,3,3,1,0,0,3,1,1,1,2,0,1,0,0
108,224,0,1,0,0,1,4,6,6,8,13,14,14,15,16,37,17,17,20,16,6,8,2,2,1,108,219,0,0,0,0,0,1,10,26,20,20,15,15,12,14,15,13,7,12,12,6,11,4,4,2
109,108,0,0,0,0,0,0,7,11,8,7,1,9,8,6,7,9,7,2,6,5,9,5,1,0,109,107,0,1,0,0,0,0,1,3,4,2,5,9,8,6,8,10,12,8,7,11,8,2,1,0
110,115,1,0,1,0,0,3,7,10,11,10,7,6,3,7,6,13,10,8,5,2,3,2,0,0,110,118,0,1,0,0,0,0,4,3,10,5,6,5,9,6,6,12,10,10,3,8,9,6,4,1
111,140,0,0,0,0,1,4,10,18,14,5,10,7,8,8,6,4,10,12,7,9,3,3,1,0,111,147,0,0,0,0,0,1,3,4,2,5,4,7,3,10,11,9,12,15,19,11,11,8,6,5
112,307,0,1,0,0,0,7,15,31,32,15,17,18,20,12,20,22,20,22,26,14,7,5,3,0,112,318,0,1,3,0,0,0,3,10,13,17,21,13,19,16,16,24,26,29,42,22,10,13,13,7
113,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
114,62,2,0,0,0,1,4,4,5,6,3,4,4,3,2,1,4,3,3,4,1,2,3,2,1,114,59,0,1,1,0,0,0,1,0,4,5,2,2,2,2,6,3,9,3,2,4,1,7,3,1
115,122,0,0,0,1,0,3,13,15,13,9,8,6,9,4,7,8,6,7,6,3,1,2,1,0,115,134,0,0,0,0,0,0,1,1,8,7,3,4,4,15,4,8,12,16,15,10,11,9,4,1
116,51,0,0,0,0,1,2,7,5,4,4,2,2,4,2,3,4,5,1,4,1,0,0,0,0,116,56,0,0,0,0,0,0,1,2,2,4,2,0,5,3,3,8,5,7,3,5,4,0,1,1
117,162,3,0,0,0,0,1,13,19,21,16,9,6,8,14,12,7,5,6,7,12,2,0,1,0,117,162,0,1,0,0,0,1,1,7,8,8,12,10,7,7,12,10,13,19,14,12,7,7,3,3
118,125,0,0,0,0,1,3,10,14,9,3,5,7,6,7,5,9,9,6,7,8,7,7,2,0,118,145,0,0,0,0,0,0,5,3,5,9,7,6,11,8,11,6,14,8,15,12,12,7,3,3
119,132,0,0,0,0,1,1,4,9,12,5,6,7,3,7,7,10,18,18,8,7,2,5,2,0,119,130,0,0,1,0,0,0,2,12,17,4,5,6,5,10,3,8,10,17,15,4,0,5,5,1
120,189,0,0,0,0,0,4,4,12,20,11,12,8,11,12,11,19,17,11,8,9,9,6,5,0,120,180,0,1,0,0,0,2,6,6,16,7,16,13,10,12,8,12,12,19,10,11,7,5,6,1
121,30,0,0,0,0,0,2,0,0,2,3,1,1,2,3,3,1,1,1,4,5,1,0,0,0,121,29,0,0,0,0,0,0,1,1,0,6,3,1,1,1,3,3,2,1,3,2,0,0,0,0
122,108,0,0,0,0,0,3,3,4,8,4,4,5,8,9,17,6,11,8,6,8,2,2,0,0,122,86,0,0,0,0,0,1,5,9,9,5,2,3,5,7,0,3,6,10,7,3,3,4,4,0
