Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time
2951,4005,4005,7,Mon,Short Term Visitor,OO,9279.19,21,22
2989,4005,4005,7,Mon,Short Term Visitor,WH,7915.97,13,14
3022,4005,4005,7,Mon,Short Term Visitor,WW,3775.32,8,9
3054,4005,4005,7,Mon,Long Term Visitor,OO,10779.03,13,14
3063,4005,4005,7,Mon,Long Term Visitor,OO,3566.1,6,7
3087,4005,4005,7,Mon,Long Term Visitor,OO,9567.3,16,17
3088,4005,4005,7,Mon,Long Term Visitor,OO,10230.84,17,18
3111,4005,4005,7,Mon,Short Term Visitor,OO,17600.8,7,8
3138,4005,4005,7,Mon,Short Term Visitor,HO,8158.38,18,19
3191,4005,4005,7,Mon,Long Term Visitor,OH,154.46,8,9
3192,4005,4005,7,Mon,Long Term Visitor,HO,73.11,10,11
3193,4005,4005,7,Mon,Long Term Visitor,OH,58.89,11,12
3225,4005,4005,7,Mon,Long Term Visitor,OO,8445.7,15,16
3294,4005,4005,7,Mon,Long Term Visitor,HO,155.91,5,6
3295,4005,4005,7,Mon,Long Term Visitor,OO,5046.44,20,21
3309,4005,4005,7,Mon,Short Term Visitor,WO,11813.27,15,16
3329,4005,4005,7,Mon,Short Term Visitor,HO,4904.92,19,20
3344,4005,4005,7,Mon,Long Term Visitor,OO,3738.9,21,22
3393,4005,4005,7,Mon,Long Term Visitor,HH,338.06,19,20
3407,4005,4005,7,Mon,Short Term Visitor,HO,21166.85,6,7
3416,4005,4005,7,Mon,Short Term Visitor,HH,2786.38,23,24
3465,4005,4005,7,Mon,Short Term Visitor,OW,4569.51,13,14
3466,4005,4005,7,Mon,Short Term Visitor,WW,2159.04,18,19
3467,4005,4005,7,Mon,Short Term Visitor,WW,498.75,21,22
3468,4005,4005,7,Mon,Short Term Visitor,WO,729.19,22,23
3484,4005,4005,7,Mon,Outbound Commuter,WW,150.68,18,19
3492,4005,4005,7,Mon,Short Term Visitor,OW,7473.71,8,9
3493,4005,4005,7,Mon,Short Term Visitor,WO,3785.42,10,11
3552,4005,4005,7,Mon,Short Term Visitor,OH,814.04,5,6
3557,4005,4005,7,Mon,Short Term Visitor,WO,6307.42,12,13
3613,4005,4005,7,Mon,Short Term Visitor,WH,4357.48,21,22
3620,4005,4005,7,Mon,Home Worker,HH,73.2,14,15
3668,4005,4005,7,Mon,Short Term Visitor,WW,5841.62,9,10
3682,4005,4005,7,Mon,Short Term Visitor,OW,5502.86,10,11
3728,4005,4005,7,Mon,Long Term Visitor,HH,386.74,16,17
3729,4005,4005,7,Mon,Long Term Visitor,HH,494.26,17,18
3730,4005,4005,7,Mon,Long Term Visitor,HH,326.61,21,22
3733,4005,4005,7,Mon,Short Term Visitor,HW,739.85,18,19
3843,4005,4005,7,Mon,Short Term Visitor,HW,2585.65,4,5
3844,4005,4005,7,Mon,Short Term Visitor,WW,311.36,5,6
3845,4005,4005,7,Mon,Short Term Visitor,WW,3464.79,17,18
3846,4005,4005,7,Mon,Short Term Visitor,WW,2002.7,19,20
3847,4005,4005,7,Mon,Short Term Visitor,OH,3375.57,8,9
3863,4005,4005,7,Mon,Short Term Visitor,WO,7389.22,13,14
3864,4005,4005,7,Mon,Long Term Visitor,HH,704.35,6,7
3887,4005,4005,7,Mon,Short Term Visitor,WO,1129.87,7,8
3888,4005,4005,7,Mon,Short Term Visitor,HW,3017.93,14,15
3889,4005,4005,7,Mon,Short Term Visitor,WH,2854.79,22,23
3942,4005,4005,7,Mon,Inbound Commuter,HH,754.07,19,20
3943,4005,4005,7,Mon,Inbound Commuter,HO,69.69,21,22
3944,4005,4005,7,Mon,Inbound Commuter,OH,192.25,22,23
3947,4005,4005,7,Mon,Outbound Commuter,OW,157.75,15,16
3952,4005,4005,7,Mon,Short Term Visitor,WO,2600.78,8,9
3953,4005,4005,7,Mon,Short Term Visitor,OW,5485.17,9,10
3964,4005,4005,7,Mon,Short Term Visitor,WH,2816.32,10,11
4016,4005,4005,7,Mon,Long Term Visitor,OO,5867.63,19,20
4025,4005,4005,7,Mon,Short Term Visitor,HO,2428.32,21,22
4048,4005,4005,7,Mon,Outbound Commuter,OO,164.99,19,20
4144,4005,4005,7,Mon,Short Term Visitor,OW,4925.15,12,13
4288,4005,4005,7,Mon,Inbound Commuter,OO,938.82,17,18
4289,4005,4005,7,Mon,Inbound Commuter,OO,511.86,21,22
4290,4005,4005,7,Mon,Inbound Commuter,OO,219.42,22,23
4347,4005,4005,7,Mon,Short Term Visitor,WO,6206.43,11,12
4501,4005,4005,7,Mon,Resident Worker,OO,85.02,7,8
4541,4005,4005,7,Mon,Home Worker,OO,522.22,14,15
4557,4005,4005,7,Mon,Home Worker,OO,46.28,21,22
4610,4005,4005,7,Mon,Home Worker,OO,556.71,11,12
4611,4005,4005,7,Mon,Home Worker,OO,245.83,15,16
4612,4005,4005,7,Mon,Home Worker,OO,226.15,16,17
4613,4005,4005,7,Mon,Home Worker,OO,185.92,18,19
4636,4005,4005,7,Mon,Short Term Visitor,OW,1119.46,5,6
4693,4005,4005,7,Mon,Short Term Visitor,WO,422.34,6,7
4694,4005,4005,7,Mon,Short Term Visitor,OW,3936.06,14,15
4695,4005,4005,7,Mon,Short Term Visitor,WO,2575.4,20,21
4726,4005,4005,7,Mon,Short Term Visitor,WH,5613.79,20,21
4813,4005,4005,7,Mon,Long Term Visitor,OO,9252.01,14,15
4887,4005,4005,7,Mon,Inbound Commuter,HH,653.4,5,6
4933,4005,4005,7,Mon,Long Term Visitor,HH,230.72,10,11
4980,4005,4005,7,Mon,Short Term Visitor,HO,3020.77,4,5
4999,4005,4005,7,Mon,Short Term Visitor,OH,8616.86,11,12
5063,4005,4005,7,Mon,Resident Worker,OO,302.57,14,15
5091,4005,4005,7,Mon,Long Term Visitor,OO,1749.18,5,6
