Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
2326,2326,37,44,1,Tue,Home Worker,OH,50.78,16,17
2327,2327,32,68,1,Tue,Home Worker,HH,50.78,21,22
2328,2328,144,144,1,Tue,Home Worker,HH,47.76,6,7
2348,2348,74,64,1,Tue,Home Worker,HO,37.16,17,18
2349,2349,64,39,1,Tue,Home Worker,OO,37.16,18,19
2350,2350,39,74,1,Tue,Home Worker,OH,37.16,20,21
2353,2353,94,94,1,Tue,Resident Worker,HH,31.01,8,9
2357,2357,44,44,1,Tue,Home Worker,HH,78.03,9,10
2358,2358,44,65,1,Tue,Home Worker,HO,78.03,12,13
2359,2359,65,70,1,Tue,Home Worker,OO,78.03,15,16
2360,2360,70,44,1,Tue,Home Worker,OH,78.03,18,19
2361,2361,108,208,1,Tue,Resident Worker,WO,27.56,17,18
2489,2489,165,39,1,Tue,Resident Worker,HW,77.54,7,8
2540,2540,108,173,1,Tue,Long Term Visitor,OO,30.75,9,10
2550,2550,173,210,1,Tue,Resident Worker,HW,43.54,10,11
2551,2551,210,210,1,Tue,Resident Worker,WW,43.54,11,12
2552,2552,210,170,1,Tue,Resident Worker,WH,43.54,18,19
2555,2555,211,192,1,Tue,Resident Worker,HO,41.74,18,19
2556,2556,192,211,1,Tue,Resident Worker,OH,41.74,19,20
2620,2620,141,149,1,Tue,Resident Worker,OW,34.01,8,9
2621,2621,149,141,1,Tue,Resident Worker,WO,34.01,16,17
2622,2622,141,106,1,Tue,Resident Worker,OO,34.01,20,21
2623,2623,106,141,1,Tue,Resident Worker,OO,34.01,20,21
2666,2666,148,171,1,Tue,Resident Worker,OO,43.23,11,12
2667,2667,132,108,1,Tue,Resident Worker,WW,43.23,13,14
2668,2668,108,80,1,Tue,Resident Worker,WO,43.23,15,16
2669,2669,80,177,1,Tue,Resident Worker,OO,43.23,16,17
2673,2673,99,213,1,Tue,Resident Worker,OH,21.3,18,19
2740,2740,102,102,1,Tue,Home Worker,HH,112.69,9,10
2784,2784,41,41,1,Tue,Home Worker,HH,181.68,10,11
2785,2785,41,64,1,Tue,Home Worker,HO,110.03,16,17
2786,2786,64,122,1,Tue,Home Worker,OO,59.34,16,17
2787,2787,122,41,1,Tue,Home Worker,OH,59.34,21,22
2794,2794,173,106,1,Tue,Resident Worker,OW,77.18,9,10
2795,2795,106,106,1,Tue,Resident Worker,WW,136.86,12,13
2831,2831,7,42,1,Tue,Resident Worker,HW,31.23,7,8
2832,2832,42,7,1,Tue,Resident Worker,WH,31.23,15,16
2839,2839,203,187,1,Tue,Resident Worker,HW,33.87,10,11
2840,2840,187,203,1,Tue,Resident Worker,WH,33.87,19,20
2866,2866,187,120,1,Tue,Home Worker,HO,61.83,20,21
2887,2887,143,222,1,Tue,Resident Worker,HW,38.65,8,9
2888,2888,222,143,1,Tue,Resident Worker,WH,38.65,16,17
2917,2917,60,60,1,Tue,Resident Worker,HH,55.26,9,10
2927,2927,37,181,1,Tue,Resident Worker,OO,38.65,11,12
2928,2928,181,17,1,Tue,Resident Worker,OO,38.65,13,14
2929,2929,17,181,1,Tue,Resident Worker,OO,38.65,14,15
2947,2947,136,136,1,Tue,Home Worker,HH,191.01,12,13
