Rowno,Rowno,Origin_Zone,Destination_Zone,Start_Date,Aggregation,Subscriber_Class,Purpose,Count,Start_time,End_time1
21999,21999,4004,4004,1,Tue,Long Term Visitor,OH,32.11,10,11
22170,22170,4004,4004,1,Tue,Resident Worker,OO,78.89,12,13
22542,22542,4004,4004,1,Tue,Short Term Visitor,WH,166.57,19,20
23273,23273,4004,4004,1,Tue,Short Term Visitor,OH,50.33,23,24
23500,23500,4004,4004,1,Tue,Inbound Commuter,HH,50.27,4,5
23900,23900,4004,4004,1,Tue,Short Term Visitor,OW,378.79,11,12
24265,24265,4004,4004,1,Tue,Short Term Visitor,OH,256.72,8,9
24341,24341,4004,4004,1,Tue,Long Term Visitor,HH,97.96,13,14
24342,24342,4004,4004,1,Tue,Long Term Visitor,HO,54.11,21,22
24352,24352,4004,4004,1,Tue,Outbound Commuter,OW,97.19,9,10
25641,25641,4004,4004,1,Tue,Short Term Visitor,WO,963.52,16,17
25727,25727,4004,4004,1,Tue,Resident Worker,OO,36.44,20,21
25830,25830,4004,4004,1,Tue,Short Term Visitor,WH,51.44,6,7
26931,26931,4004,4004,1,Tue,Short Term Visitor,OW,466.22,6,7
26932,26932,4004,4004,1,Tue,Long Term Visitor,HH,104.16,17,18
26933,26933,4004,4004,1,Tue,Long Term Visitor,HH,51.11,19,20
27512,27512,4004,4004,1,Tue,Short Term Visitor,HO,146.77,4,5
27513,27513,4004,4004,1,Tue,Short Term Visitor,OO,846.02,5,6
27571,27571,4004,4004,1,Tue,Short Term Visitor,WO,466.54,12,13
27585,27585,4004,4004,1,Tue,Long Term Visitor,OO,450.94,5,6
28324,28324,4004,4004,1,Tue,Short Term Visitor,HO,654.6,5,6
28823,28823,4004,4004,1,Tue,Short Term Visitor,WH,45.19,7,8
29312,29312,4004,4004,1,Tue,Long Term Visitor,HO,35.75,15,16
29313,29313,4004,4004,1,Tue,Long Term Visitor,OH,35.75,16,17
29779,29779,4004,4004,1,Tue,Short Term Visitor,OW,568.39,12,13
30897,30897,4004,4004,1,Tue,Home Worker,OO,187.8,15,16
31631,31631,4004,4004,1,Tue,Long Term Visitor,HO,86.82,5,6
31731,31731,4004,4004,1,Tue,Outbound Commuter,WW,112.7,11,12
33542,33542,4004,4004,1,Tue,Outbound Commuter,OO,148.82,7,8
33936,33936,4004,4004,1,Tue,Long Term Visitor,OH,168.82,6,7
34278,34278,4004,4004,1,Tue,Resident Worker,OO,115.68,10,11
34312,34312,4004,4004,1,Tue,Long Term Visitor,HH,135.3,5,6
34313,34313,4004,4004,1,Tue,Long Term Visitor,HO,126.83,20,21
34314,34314,4004,4004,1,Tue,Long Term Visitor,OH,29.99,22,23
34835,34835,4004,4004,1,Tue,Short Term Visitor,WW,140.42,7,8
35219,35219,4004,4004,1,Tue,Inbound Commuter,OH,17.72,13,14
35220,35220,4004,4004,1,Tue,Inbound Commuter,HO,17.72,16,17
35477,35477,4004,4004,1,Tue,Short Term Visitor,HW,227.28,16,17
36567,36567,4004,4004,1,Tue,Short Term Visitor,OH,50.05,5,6
37817,37817,4004,4004,1,Tue,Short Term Visitor,WH,353.78,12,13
37831,37831,4004,4004,1,Tue,Short Term Visitor,OH,195.16,7,8
38064,38064,4004,4004,1,Tue,Short Term Visitor,WO,127.2,22,23
38995,38995,4004,4004,1,Tue,Inbound Commuter,HH,28.64,12,13
40814,40814,4004,4004,1,Tue,Outbound Commuter,OW,138.67,10,11
40815,40815,4004,4004,1,Tue,Outbound Commuter,WW,163.58,17,18
40816,40816,4004,4004,1,Tue,Outbound Commuter,WO,29.08,21,22
41356,41356,4004,4004,1,Tue,Long Term Visitor,HH,144.47,10,11
41974,41974,4004,4004,1,Tue,Short Term Visitor,OW,74.64,19,20
42346,42346,4004,4004,1,Tue,Short Term Visitor,WO,307.92,8,9
42461,42461,4004,4004,1,Tue,Short Term Visitor,OW,257.17,17,18
42718,42718,4004,4004,1,Tue,Outbound Commuter,WW,41.2,8,9
42719,42719,4004,4004,1,Tue,Outbound Commuter,WO,142.01,10,11
42720,42720,4004,4004,1,Tue,Outbound Commuter,OW,111.59,11,12
42721,42721,4004,4004,1,Tue,Outbound Commuter,OW,41.2,15,16
42722,42722,4004,4004,1,Tue,Outbound Commuter,WO,93.92,16,17
43115,43115,4004,4004,1,Tue,Inbound Commuter,HH,171.12,18,19
43186,43186,4004,4004,1,Tue,Inbound Commuter,OO,154.33,7,8
43418,43418,4004,4004,1,Tue,Home Worker,OO,306.51,11,12
43876,43876,4004,4004,1,Tue,Long Term Visitor,HH,177.19,20,21
43927,43927,4004,4004,1,Tue,Outbound Commuter,OO,22.61,21,22
44341,44341,4004,4004,1,Tue,Resident Worker,OO,141.12,11,12
44485,44485,4004,4004,1,Tue,Inbound Commuter,HO,27.93,5,6
45266,45266,4004,4004,1,Tue,Outbound Commuter,OW,20.5,19,20
45267,45267,4004,4004,1,Tue,Outbound Commuter,WW,20.5,21,22
49123,49123,4004,4004,1,Tue,Short Term Visitor,WH,276.9,20,21
49341,49341,4004,4004,1,Tue,Short Term Visitor,HW,119.57,19,20
49535,49535,4004,4004,1,Tue,Short Term Visitor,WO,74.54,5,6
50100,50100,4004,4004,1,Tue,Short Term Visitor,HW,19.3,22,23
50214,50214,4004,4004,1,Tue,Short Term Visitor,WH,94.26,21,22
51450,51450,4004,4004,1,Tue,Long Term Visitor,HH,51.53,16,17
51798,51798,4004,4004,1,Tue,Short Term Visitor,WH,179.43,10,11
53393,53393,4004,4004,1,Tue,Inbound Commuter,OO,116.1,6,7
53394,53394,4004,4004,1,Tue,Inbound Commuter,OH,156.73,19,20
53438,53438,4004,4004,1,Tue,Short Term Visitor,HW,105.78,14,15
54594,54594,4004,4004,1,Tue,Home Worker,HH,27.78,9,10
55079,55079,4004,4004,1,Tue,Short Term Visitor,WW,261.44,18,19
55172,55172,4004,4004,1,Tue,Short Term Visitor,OW,476.17,7,8
55510,55510,4004,4004,1,Tue,Inbound Commuter,HH,161.08,5,6
55511,55511,4004,4004,1,Tue,Inbound Commuter,HH,53.79,17,18
55623,55623,4004,4004,1,Tue,Outbound Commuter,OW,69.88,8,9
55937,55937,4004,4004,1,Tue,Outbound Commuter,WO,66.28,13,14
56070,56070,4004,4004,1,Tue,Inbound Commuter,OO,159.59,16,17
