origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
30,201,0,0,0,0,1,5,10,10,21,13,12,12,15,15,10,14,15,11,16,10,7,2,2,0,30,200,0,0,0,0,0,0,4,7,9,8,8,10,16,10,9,16,16,24,18,19,10,8,5,3
31,140,0,0,0,0,0,3,15,9,17,8,6,5,4,8,6,17,12,15,5,4,1,2,3,0,31,127,0,0,0,0,0,0,4,8,8,8,4,6,12,15,3,11,10,8,8,10,3,4,3,2
32,76,0,0,0,0,1,1,2,5,3,5,8,3,5,0,9,6,7,10,2,2,1,3,3,0,32,71,0,0,0,0,0,1,4,3,4,4,6,7,6,3,3,7,1,5,2,4,2,3,4,1
33,109,0,0,0,0,0,2,3,9,7,6,7,6,6,8,15,9,9,11,5,2,0,3,1,0,33,107,0,0,0,0,0,0,2,3,9,11,11,7,5,9,8,9,6,6,6,6,2,3,2,0
34,66,0,0,0,0,0,0,2,4,1,6,8,3,3,3,6,4,7,4,4,3,6,1,0,1,34,71,0,0,0,0,0,0,3,1,3,5,4,4,4,1,5,6,6,4,10,4,4,3,1,2
35,59,0,0,0,0,0,0,0,3,6,4,4,3,4,4,4,4,8,4,2,4,1,4,0,0,35,67,0,0,0,0,0,0,1,3,5,6,3,2,5,5,3,3,7,5,8,4,1,2,1,3
36,123,0,0,0,0,0,6,10,16,10,12,6,7,4,5,6,3,11,9,7,3,7,0,1,0,36,123,0,0,0,0,0,0,3,3,6,6,5,1,4,7,6,7,10,13,17,13,6,9,5,2
37,259,0,0,0,0,1,6,11,18,16,16,10,25,14,21,16,21,29,26,9,8,8,2,2,0,37,242,0,0,0,0,0,2,5,12,20,24,12,7,18,17,17,17,14,28,13,14,7,8,2,5
38,408,0,0,0,0,1,2,8,12,17,21,25,22,23,21,27,36,35,65,34,20,19,13,7,0,38,404,0,0,0,0,0,2,11,25,43,42,29,22,17,29,18,23,19,20,32,25,18,7,18,4
39,246,0,0,0,0,2,3,9,9,12,12,12,13,16,12,21,16,24,37,19,8,9,7,4,1,39,226,0,0,0,0,0,2,5,11,26,31,18,17,15,16,17,5,13,17,10,8,4,3,7,1
40,194,0,0,0,0,0,4,3,12,13,12,9,15,22,17,6,12,15,15,21,12,5,1,0,0,40,203,0,0,0,0,0,0,3,13,13,15,8,10,9,18,17,17,16,11,20,12,12,5,4,0
41,138,0,0,0,0,2,3,9,16,11,6,10,11,5,9,12,6,6,7,6,6,4,6,3,0,41,145,0,0,0,0,0,0,3,6,10,8,3,9,7,6,6,11,12,7,15,12,11,10,6,3
42,73,0,0,0,0,0,4,6,7,5,3,6,3,2,4,4,2,7,6,5,6,0,3,0,0,42,58,0,0,0,0,0,0,2,1,3,5,1,4,0,1,3,5,4,5,4,4,8,7,1,0
43,85,0,0,0,0,1,1,4,8,4,6,2,7,4,6,7,8,7,12,1,2,3,2,0,0,43,79,0,0,0,0,0,0,1,4,14,3,3,1,4,4,3,5,8,4,8,5,2,5,4,1
44,54,0,0,0,0,1,2,0,3,1,1,2,3,3,7,15,2,4,5,2,2,0,1,0,0,44,51,0,0,0,0,0,1,7,10,1,8,1,2,1,1,4,3,0,5,1,3,1,2,0,0
45,92,0,0,0,0,0,0,2,2,4,2,4,6,4,9,15,5,7,11,3,2,8,5,2,1,45,95,0,0,0,0,0,3,1,11,5,11,1,8,5,3,7,6,4,7,11,4,3,5,0,0
46,28,0,0,0,0,0,0,1,1,2,1,3,0,2,1,3,2,3,0,4,2,3,0,0,0,46,31,0,0,0,0,0,0,2,3,4,2,2,3,0,0,2,3,1,1,0,5,2,1,0,0
47,90,0,0,0,0,2,1,4,8,4,1,2,3,13,8,12,4,7,4,8,4,3,1,1,0,47,78,0,0,0,0,0,0,7,11,4,5,4,2,4,4,2,4,2,8,7,5,3,0,5,1
48,172,0,0,0,0,2,6,8,10,6,5,8,9,1,6,13,11,32,13,12,7,10,9,4,0,48,179,0,0,0,0,0,4,5,16,20,15,11,11,14,8,11,10,7,6,9,8,9,4,10,1
49,336,0,0,0,0,0,3,2,10,5,12,17,26,30,29,24,25,42,48,22,16,10,9,4,2,49,325,0,0,0,0,0,2,10,30,26,36,28,23,24,24,20,21,20,19,16,9,6,5,4,2
50,107,0,0,0,0,0,4,9,3,7,3,7,6,10,9,6,9,4,9,6,5,5,4,1,0,50,116,0,0,0,0,0,0,2,4,4,10,8,7,7,4,9,11,3,7,19,8,5,2,5,1
51,46,0,0,0,0,0,0,2,0,2,5,3,2,1,2,1,10,5,2,4,3,2,2,0,0,51,41,0,0,0,0,0,0,1,1,2,3,2,2,2,2,1,6,5,2,4,6,2,0,0,0
52,49,0,0,0,0,0,2,4,8,3,1,3,2,3,1,2,4,3,4,1,4,1,1,2,0,52,41,0,0,0,0,0,0,4,3,3,0,4,0,1,1,1,2,5,2,7,0,4,1,1,1
53,183,0,0,0,0,1,9,15,24,8,12,7,11,5,7,9,11,11,15,13,3,5,13,2,2,53,176,0,0,0,0,0,3,0,6,14,11,8,12,10,10,10,15,8,14,15,15,7,6,7,4
54,184,0,0,0,0,0,4,7,16,6,11,15,14,13,9,14,11,13,14,13,6,7,8,2,1,54,189,0,0,0,0,0,0,5,7,6,13,12,9,15,16,10,9,13,16,18,16,8,6,7,2
55,143,0,0,0,0,1,5,12,9,12,7,8,11,9,6,4,9,9,15,12,8,4,1,0,1,55,150,0,0,0,0,0,3,4,9,8,11,6,7,6,7,9,7,8,15,18,9,6,6,8,2
56,17,0,0,0,0,0,1,0,2,3,2,1,3,0,0,2,1,2,0,0,0,0,0,0,0,56,20,0,0,0,0,0,0,2,3,0,3,3,2,0,1,1,1,0,1,1,1,0,1,0,0
57,12,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,1,1,0,2,2,0,0,57,12,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,2,1,0,2,1,0,0,0
58,22,0,0,0,0,0,0,1,2,3,2,1,1,2,0,2,0,2,4,0,1,0,0,0,1,58,19,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,4,3,1,1,0,1,1
59,107,0,0,0,0,0,2,13,7,5,14,6,7,6,5,4,11,7,6,5,2,3,3,1,0,59,117,0,0,0,0,0,3,0,4,5,4,6,4,8,5,10,6,12,12,12,6,7,10,3,0
60,116,0,0,0,0,0,3,9,8,10,9,10,6,5,5,7,5,5,10,9,9,2,2,2,0,60,129,0,0,0,0,0,0,1,3,2,12,6,9,5,8,13,4,10,5,17,10,8,7,7,2
61,38,0,0,0,0,0,0,1,1,3,1,2,5,8,4,2,1,1,6,2,1,0,0,0,0,61,41,0,0,0,0,0,0,1,2,1,6,3,1,3,2,3,2,3,4,6,1,2,1,0,0
62,46,0,0,0,0,0,0,0,3,3,2,2,2,3,4,3,4,3,4,5,2,2,3,1,0,62,55,0,0,0,0,0,1,1,1,5,6,2,4,3,4,3,4,8,3,3,4,1,2,0,0
63,189,0,0,0,0,0,2,6,9,14,8,11,16,17,11,13,7,14,23,10,12,7,3,5,1,63,196,0,0,0,0,0,0,4,8,21,18,15,9,14,17,13,8,9,8,14,10,10,7,6,5
64,384,0,0,0,0,2,2,11,17,16,18,18,21,31,30,33,23,31,25,31,19,27,22,6,1,64,401,0,0,0,0,0,3,3,15,22,29,30,24,33,34,37,28,24,27,32,20,16,9,10,5
65,161,0,0,0,0,0,5,4,8,14,9,5,14,11,8,23,11,6,7,12,7,8,7,2,0,65,156,0,0,0,0,0,0,5,7,7,6,8,8,10,14,11,9,14,14,17,7,5,7,6,1
66,46,0,0,0,0,0,4,3,5,2,2,6,4,3,0,2,2,2,2,3,2,1,1,2,0,66,44,0,0,0,0,0,0,2,3,3,7,1,5,2,1,2,0,2,3,5,2,0,1,3,2
67,273,0,0,0,0,1,4,8,5,9,12,18,16,19,26,23,28,31,19,17,14,12,7,4,0,67,268,0,0,0,0,0,5,6,22,28,30,24,18,18,21,14,14,14,13,16,5,3,9,6,2
68,135,0,0,0,0,1,1,6,8,6,9,8,8,11,10,9,13,16,8,5,6,4,5,1,0,68,139,0,0,0,0,0,0,3,6,8,12,10,10,9,7,3,12,14,10,10,9,6,2,6,2
69,70,0,0,0,0,1,6,5,12,1,5,6,5,5,3,2,6,1,1,2,1,4,1,2,1,69,67,0,0,0,0,0,0,4,2,2,1,3,4,3,10,1,7,2,3,4,5,4,5,5,2
70,125,0,0,0,0,2,1,12,6,10,10,9,7,5,5,10,11,9,11,6,5,4,1,1,0,70,116,0,0,0,0,0,0,4,4,3,8,8,4,4,7,7,12,12,6,10,7,12,3,4,1
71,145,0,0,0,0,0,1,4,8,11,13,5,4,9,9,9,4,13,16,14,7,8,4,4,2,71,139,0,0,0,0,0,0,3,11,21,19,11,8,7,13,4,10,5,9,3,2,5,3,5,0
72,93,0,0,0,0,0,6,6,9,13,3,8,2,4,4,3,7,4,8,7,2,1,1,4,1,72,95,0,0,0,0,0,0,4,1,9,3,4,1,3,4,2,3,9,10,14,9,4,7,4,4
73,154,0,0,0,0,1,1,6,9,12,9,9,8,11,11,20,6,6,17,7,3,11,6,1,0,73,133,0,0,0,0,0,2,3,16,7,11,9,4,5,4,6,12,4,8,17,10,6,4,4,1
74,65,0,0,0,0,1,3,3,9,4,5,1,3,5,1,1,9,6,8,2,1,1,2,0,0,74,57,0,0,0,0,0,0,0,5,5,7,2,1,1,2,3,2,9,6,4,4,3,2,1,0
75,255,0,0,0,0,0,3,6,11,17,14,15,19,32,15,15,15,16,26,8,13,13,13,4,0,75,225,0,0,0,0,0,0,6,8,18,23,17,23,9,9,12,16,15,17,13,7,12,11,6,3
76,75,0,0,0,0,0,3,2,2,5,5,2,7,4,7,2,11,7,4,5,1,3,4,1,0,76,76,0,0,0,0,0,0,2,3,7,12,4,5,5,4,4,8,3,5,5,4,2,2,1,0
77,114,0,0,0,0,1,2,8,13,7,10,5,7,3,7,8,9,7,6,6,6,3,5,1,0,77,124,0,0,0,0,0,0,3,0,4,1,10,5,10,9,4,10,10,10,11,14,8,5,8,2
78,93,0,0,0,0,1,2,9,9,11,7,5,6,4,8,1,3,5,6,4,2,5,3,2,0,78,96,0,0,0,0,0,1,1,6,3,2,2,3,3,5,4,10,5,7,6,13,6,5,7,6
79,29,0,0,0,0,0,1,1,2,1,2,2,3,1,3,1,2,3,2,1,3,1,0,0,0,79,31,0,0,0,0,0,0,0,1,3,3,1,2,1,1,1,2,3,3,2,4,0,2,2,0
80,31,0,0,0,0,0,1,1,2,5,4,0,4,1,2,2,3,5,0,0,1,0,0,0,0,80,37,0,0,0,0,0,0,0,3,3,1,2,3,1,3,3,4,6,2,1,3,0,1,1,0
81,109,0,0,0,0,1,0,8,16,10,6,8,9,4,5,7,7,5,5,10,3,2,1,2,0,81,121,0,0,0,0,0,0,1,4,7,7,4,6,8,2,9,15,5,15,12,10,6,4,5,1
82,128,0,0,0,0,2,5,10,15,16,7,8,6,6,6,6,4,9,6,8,5,3,2,3,1,82,136,0,0,0,0,0,1,6,8,8,12,8,5,6,11,6,11,10,7,11,7,4,6,4,4
83,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,91,0,0,0,0,0,7,3,6,6,10,5,6,5,3,6,3,6,11,3,4,3,1,3,0,84,91,0,0,0,0,0,0,1,2,5,1,6,3,3,7,3,11,5,6,11,8,9,7,3,0
85,40,0,0,0,0,0,2,3,2,1,2,4,2,4,1,4,2,3,3,3,0,2,1,1,0,85,48,0,0,0,0,0,0,0,1,1,2,3,2,2,3,5,9,3,3,4,2,1,4,2,1
86,309,0,0,0,0,1,16,22,25,33,21,25,18,9,17,12,15,17,25,12,21,6,10,2,2,86,301,0,0,0,0,0,1,4,10,13,13,11,16,12,23,23,24,26,23,30,26,15,12,12,5
87,191,0,0,0,0,0,1,5,10,13,10,9,8,14,13,15,11,18,18,14,11,8,8,4,1,87,196,0,0,0,0,0,1,3,10,10,14,9,5,12,12,14,8,15,17,25,14,11,6,7,3
88,227,0,0,0,0,0,2,14,22,23,11,12,13,17,23,12,12,13,14,14,12,7,4,2,0,88,243,0,0,0,0,0,1,2,4,8,15,8,14,16,20,19,15,21,25,25,19,11,7,11,2
89,258,0,0,0,0,0,2,15,7,26,12,14,12,19,19,13,21,10,27,13,10,15,20,3,0,89,254,0,0,0,0,0,1,4,8,15,20,19,17,14,13,18,15,11,16,27,21,18,10,6,1
90,163,0,0,0,0,0,2,9,16,12,14,9,8,11,16,7,13,8,11,11,7,7,2,0,0,90,147,0,0,0,0,0,0,1,7,8,12,6,5,11,10,5,9,13,12,21,8,6,5,4,3
91,98,0,0,0,0,0,4,7,7,8,7,6,7,4,3,8,10,6,6,7,4,1,3,0,0,91,102,0,0,0,0,0,0,2,2,5,5,7,4,8,7,8,7,8,6,8,10,6,1,6,2
92,50,0,0,0,0,0,1,1,4,2,4,3,3,4,2,5,5,3,5,3,4,0,1,0,0,92,52,0,0,0,0,0,0,1,3,7,2,2,1,2,4,3,8,4,5,4,2,2,1,1,0
93,137,0,0,0,0,0,3,5,16,13,10,5,11,2,7,5,9,10,16,10,5,4,4,2,0,93,136,0,0,0,0,0,0,2,3,6,8,8,6,5,9,13,11,10,8,16,10,5,9,3,3
94,36,0,0,0,0,0,0,0,2,1,3,1,4,2,2,5,3,5,3,2,3,0,0,0,0,94,33,0,0,0,0,0,0,0,0,1,4,2,2,4,5,4,2,1,4,1,2,0,0,0,1
95,129,0,0,0,0,0,3,4,8,11,9,7,9,10,10,3,4,8,14,9,8,3,7,1,1,95,134,0,0,0,0,0,1,2,3,10,7,12,8,3,13,8,8,12,15,9,11,4,5,1,2
96,103,0,0,0,0,0,2,6,8,9,6,6,3,7,7,2,6,12,7,7,6,2,4,3,0,96,94,0,0,0,0,0,0,2,4,5,4,3,4,6,10,3,11,5,9,5,8,5,1,8,1
97,69,0,0,0,0,0,1,3,5,10,1,8,6,4,4,2,7,6,4,2,0,4,2,0,0,97,65,0,0,0,0,0,1,0,1,1,8,3,2,5,4,4,3,12,7,4,3,2,3,1,0
98,22,0,0,0,0,0,0,1,3,0,1,3,0,1,2,2,2,4,1,1,0,0,0,1,0,98,20,0,0,0,0,0,0,1,2,1,0,0,1,1,0,3,2,2,3,0,1,2,0,1,0
99,142,0,0,0,0,0,3,4,10,5,7,6,10,9,12,29,13,8,7,5,8,1,5,0,0,99,139,0,0,0,0,0,0,8,22,8,8,6,8,5,4,7,13,2,11,7,8,14,6,2,0
100,136,0,0,0,0,0,1,6,7,16,17,6,7,11,5,5,9,9,10,11,5,8,3,0,0,100,141,0,0,0,0,0,0,0,4,5,5,13,4,10,6,9,17,9,12,15,10,5,5,9,3
101,53,0,0,0,0,0,0,1,6,5,2,2,3,2,4,2,3,3,3,2,4,7,2,2,0,101,54,0,0,0,0,0,1,1,1,3,3,4,0,2,2,4,2,7,7,8,3,2,2,0,2
102,113,0,0,0,0,1,1,5,5,6,7,7,5,6,6,12,9,5,12,8,9,4,5,0,0,102,108,0,0,0,0,0,1,3,3,6,15,12,5,7,4,7,8,7,8,10,6,4,2,0,0
103,113,0,0,0,0,1,1,8,5,11,3,4,7,2,9,10,9,8,8,12,8,2,2,2,1,103,94,0,0,0,0,0,1,3,4,6,7,8,5,3,9,7,9,6,4,6,2,2,7,2,3
104,24,0,0,0,0,1,0,0,2,1,0,3,0,1,2,3,2,0,1,3,1,4,0,0,0,104,28,0,0,0,0,0,0,0,1,3,2,2,1,3,1,3,1,4,0,2,1,0,2,0,1
105,154,0,0,0,0,0,3,3,3,5,5,9,14,10,13,15,10,20,18,10,3,6,3,4,0,105,151,0,0,0,0,0,0,8,11,18,15,10,5,14,8,10,9,6,11,3,6,6,4,5,2
106,98,0,0,0,0,0,0,3,2,6,3,5,3,9,8,6,5,10,13,6,8,8,3,0,0,106,93,0,0,0,0,0,1,0,3,10,8,10,7,10,8,6,6,9,2,4,4,2,2,1,0
107,35,0,0,0,0,0,0,0,0,3,2,1,4,1,1,5,3,4,3,4,2,1,0,1,0,107,31,0,0,0,0,0,0,0,1,2,4,2,1,5,3,2,0,4,1,1,1,2,1,0,1
108,246,0,0,0,0,0,0,5,6,8,12,13,12,15,7,35,20,20,23,19,18,17,11,5,0,108,229,0,0,0,0,0,0,11,36,16,15,11,12,12,14,11,11,10,19,15,12,9,6,6,2
109,115,0,0,0,0,0,1,6,8,10,10,3,6,9,8,3,9,12,4,6,9,3,5,3,0,109,136,0,0,0,0,0,0,1,1,9,4,6,4,11,6,9,10,13,13,12,13,10,5,8,1
110,144,0,0,0,0,1,3,9,23,14,6,12,7,8,8,10,9,9,5,5,8,4,3,0,0,110,126,0,0,0,0,0,0,4,3,3,4,6,10,4,8,6,9,11,13,17,9,7,3,5,3
111,123,0,0,0,0,0,8,8,13,11,7,5,9,8,9,7,6,5,8,10,2,5,1,1,0,111,132,0,0,0,0,0,0,3,4,1,2,5,8,7,9,6,12,15,12,10,11,11,10,5,1
112,335,0,0,0,0,1,11,18,23,26,17,17,23,23,15,20,26,26,24,23,14,11,11,5,1,112,339,0,0,0,0,0,1,6,10,19,16,20,15,12,26,26,15,24,36,40,21,17,14,11,8
113,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
114,60,0,0,0,0,2,4,5,6,6,5,2,4,1,0,1,3,2,4,6,2,3,2,1,1,114,62,0,0,0,0,0,0,3,3,3,3,5,3,3,4,2,5,2,4,3,7,1,4,6,1
115,128,0,0,0,0,0,4,14,12,12,12,5,6,5,5,4,13,9,8,6,4,5,1,2,1,115,128,0,0,0,0,0,0,1,0,6,6,8,5,7,8,4,10,13,15,14,8,4,9,9,1
116,67,0,0,0,0,0,3,5,8,10,7,5,2,2,5,4,2,1,6,1,1,2,2,1,0,116,68,0,0,0,0,0,1,1,1,4,4,5,3,1,4,2,5,3,10,10,4,3,2,2,3
117,200,0,0,0,0,1,4,13,16,18,15,12,8,9,11,16,15,15,13,12,7,7,7,1,0,117,181,0,0,0,0,0,1,5,8,8,5,12,8,5,11,8,18,14,15,18,20,4,11,9,1
118,155,0,0,0,0,1,5,7,14,13,13,13,13,8,3,7,12,8,7,14,5,4,6,2,0,118,157,0,0,0,0,0,1,3,7,12,10,8,9,4,11,7,15,6,12,18,10,12,5,7,0
119,173,0,0,0,0,1,4,7,9,10,10,6,16,10,12,9,13,17,18,12,7,7,5,0,0,119,166,0,0,0,0,0,0,4,9,17,6,8,11,9,8,12,18,11,15,13,9,5,7,2,2
120,186,0,0,0,0,1,3,4,8,16,14,11,10,12,12,20,13,12,11,12,8,7,7,3,2,120,189,0,0,0,0,0,0,4,8,9,9,10,14,14,11,10,18,16,14,13,19,7,4,6,2
121,38,0,0,0,0,1,2,2,2,1,1,1,0,2,2,2,4,3,4,3,3,0,4,0,1,121,39,0,0,0,0,0,0,3,0,1,2,1,0,1,3,5,5,5,1,3,0,3,1,4,1
122,106,0,0,0,0,0,0,3,8,9,7,2,3,5,6,22,7,7,9,5,6,3,2,1,1,122,90,0,0,0,0,0,1,5,13,7,7,0,1,4,8,5,7,6,5,7,3,3,1,4,3
123,74,0,0,0,0,1,1,6,4,11,4,2,1,4,6,4,3,6,8,3,2,1,5,2,0,123,79,0,0,0,0,0,1,2,1,4,3,8,1,6,8,5,4,6,7,7,5,3,5,2,1
124,283,0,0,0,0,0,5,16,19,17,18,19,17,20,20,21,13,21,23,21,9,8,9,6,1,124,293,0,0,0,0,0,1,4,7,21,21,18,14,15,19,22,19,20,20,28,22,15,13,8,5
125,182,0,0,0,0,0,3,5,6,11,5,7,12,11,13,15,8,12,16,14,19,11,6,7,1,125,190,0,0,0,0,0,0,3,2,12,13,10,11,13,12,9,14,19,15,24,15,10,2,5,1
126,266,0,0,0,0,1,3,3,13,12,8,10,6,19,26,13,26,21,31,27,15,14,13,5,0,126,267,0,0,0,0,0,2,3,7,19,17,21,22,22,19,21,16,16,24,23,13,10,4,4,3
127,151,0,0,0,0,0,4,4,13,10,13,10,11,15,8,7,10,14,11,7,5,6,2,1,0,127,148,0,0,0,0,0,0,0,11,11,5,8,12,13,15,4,7,13,9,11,10,6,8,4,0
128,118,0,0,0,0,2,2,4,4,1,3,3,7,11,5,8,11,11,13,8,8,6,9,2,0,128,118,0,0,0,0,0,2,0,3,9,5,1,7,12,9,5,11,11,14,9,5,6,3,2,4
129,62,0,0,0,0,0,1,3,9,8,5,5,3,5,1,2,4,4,3,0,0,5,4,0,0,129,60,0,0,0,0,0,0,1,6,8,4,5,4,5,2,3,1,3,0,7,3,3,1,2,2
130,77,0,0,0,0,0,1,2,2,4,2,8,5,4,6,3,8,8,8,3,7,1,3,2,0,130,75,0,0,0,0,0,0,3,8,5,6,9,3,6,3,4,5,6,6,4,1,1,2,2,0
131,53,0,0,0,0,0,1,1,1,6,1,5,2,6,3,3,4,10,1,3,0,4,1,1,0,131,46,0,0,0,0,0,0,1,1,4,6,7,2,2,3,1,2,2,2,8,0,1,1,2,1
