TAZ_ID,Inbound,Outbound,Outbound Commuter,Resident Worker,Long Term Visitor,Short Term Visitor,Inbound Commuter,Home Worker
196,483,515,0,6,1,0,0,1
151,2467,2120,0,18,1,0,0,18
698,1339,1473,0,16,1,2,0,15
8,3810,4015,1,27,13,6,6,27
56,1287,2217,0,14,3,1,2,10
720,2476,2578,0,39,4,3,3,16
977,170021,126413,25,255,1134,346,3,161
1062,2107,2070,0,19,0,2,0,24
1151,947,646,0,6,4,0,0,0
457,8683,8120,5,101,17,9,6,77
807,13816,12417,4,115,154,14,3,48
187,11499,12267,6,160,23,4,1,83
1212,8572,9367,0,105,20,5,2,61
1188,4306,9591,2,42,10,8,2,45
956,1174,1270,0,10,14,2,0,4
449,1917,2032,3,36,1,1,0,11
131,1613,1660,0,21,0,0,1,9
1126,3201,3395,0,40,6,0,0,22
898,20575,33066,4,37,206,15,4,23
1334,19153,17574,6,106,187,13,6,74
413,6468,6395,6,64,9,0,1,47
639,1057,1768684,2,16,0,3,1,1
470,2669,3009,0,38,4,0,4,21
386,1217,1543,1,16,3,2,0,10
1295,1508,1931,0,22,1,0,0,8
190,4007,3924,1,47,2,0,0,26
158,1367525,3252,0,33,13,1,0,19
427,3561,3141,6,24,2,0,0,17
309,18897,18234,13,166,22,8,12,98
1016,1606,1129,0,17,0,1,1,8
461,2613,2886,1,42,20,1,0,15
550,1850,2023,1,23,0,0,0,15
994,5916,6115,0,92,25,1,0,45
154,13690,13843,6,170,16,4,4,91
1332,3381,19158,0,31,12,3,5,21
215,6537,6466,1,86,2,1,1,62
752,1711,1733,0,25,5,0,1,14
606,838,1585,0,7,0,0,0,2
478,1105,733,0,4,2,0,0,10
194,1018,1291,0,9,5,0,0,9
1067,3993,4476,0,42,7,4,0,37
663,2916,18055,0,27,0,0,0,22
1294,27790,28393,18,126,355,38,13,76
932,37379,42979,8,158,522,30,23,63
202,1997,2446,0,28,1,0,1,25
185,8669,7408,1,83,4,1,0,52
966,3697,4201,4,48,34,6,5,21
406,1711,1835,0,12,1,0,0,15
51,1946,1581,0,23,1,0,0,3
1081,2336,150,0,1,0,0,0,0
325,8892,9043,0,86,18,8,11,46
195,10186,9127,1,96,3,2,0,64
358,1319,1189,0,18,3,0,0,2
54,8286,8389,3,87,11,7,4,47
621,3058,2660,0,46,1,1,0,18
1310,942,15034,7,14,10,9,6,10
1301,238,314,0,5,0,0,0,1
1221,2139,2327,5,24,10,3,1,9
664,11658,11065,4,110,22,11,3,69
1066,6358,6350,1,81,3,0,2,83
1107,6384,6134,0,22,90,5,0,16
570,2901,381,0,4,0,0,0,0
979,1210,1214,1,7,22,4,0,2
1202,3819,3941,3,44,7,6,8,22
69,1924,2063,1,22,4,0,0,12
866,1011,10266,0,8,4,3,0,2
524,1075,1858,0,15,4,1,0,5
631,12921,12510,6,128,4,1,0,80
706,4479,1213640,0,71,4,5,4,21
496,20075,19803,8,291,51,11,14,171
757,4396,4539,2,43,3,0,0,21
1316,1635,1562,0,27,4,0,0,20
493,5866,5925,3,95,8,2,0,76
846,2846,3226,2,41,2,0,0,12
121,1391,1590,0,10,1,1,0,12
87,7719,7546,1,92,2,7,1,59
775,28933,28347,2,355,51,4,6,185
398,425,262,0,1,3,0,0,0
1063,1443,1878,1,18,1,1,0,11
906,51089,54561,6,125,405,31,16,70
676,4399,20100,4,80,2,0,1,40
346,4003,3991,0,59,11,1,2,30
451,1182,2012,2,12,3,0,0,9
556,3591,4294,0,25,4,1,0,27
732,2183,2433,0,38,5,0,0,10
1175,18493,32197,4,93,248,13,8,44
1321,1889,1819,2,33,0,4,1,11
180,3846,3206,0,48,3,0,0,19
1297,6541,9655,0,57,3,0,0,52
645,4959,5479,0,87,10,6,3,41
1291,1226,82,0,0,0,0,0,0
71,6190,6559,1,92,21,5,11,25
609,1386,2186,0,18,3,0,0,11
1303,896,1252,0,20,4,0,0,5
1220,1951,1939,1,30,8,0,0,6
302,10427,9750,11,45,20,38,19,46
1138,224,2219,0,2,0,0,0,2
52,2323,2261,0,18,3,3,1,6
85,1968,794955,0,18,2,0,1,10
505,725,550,0,7,0,0,2,3
1079,1659,7303,0,14,4,3,5,9
905,1337,2902,0,2,36,0,0,0
802,2402,2118,0,18,25,3,0,10
1345,538,2532,0,5,0,0,0,0
912,3608,3601,3,46,21,2,0,30
849,5488,13424,0,50,5,1,0,48
565,1184,2450,0,12,1,0,0,9
230,2772,3838,1,28,3,0,1,27
539,534,860,0,6,0,0,0,8
448,7107,7979,1,124,18,7,3,40
764,4132,4034,0,43,4,2,0,30
363,9965,597,0,5,0,2,0,2
106,4547,4734,1,66,4,5,8,25
658,388,514,0,4,0,0,0,2
893,21,2644,0,0,0,0,0,0
1137,1456,1425,0,22,6,0,0,15
197,12717,13379,3,186,16,3,1,99
373,1351,1354,0,19,0,0,0,6
410,2705,3368,0,32,0,0,0,15
826,2225,6629,2,27,4,0,1,18
400,11033,521,0,2,0,0,0,4
747,5057,5011,0,59,1,0,0,30
683,6596,10867,3,103,14,2,11,35
499,55692,58515,17,808,49,34,33,521
417,13289,190,0,1,0,0,0,0
881,6617,6884,2,69,8,1,0,47
337,1131,975,1,13,0,0,0,5
1127,3781,3319,0,25,4,1,2,26
29,310,928,0,2,0,0,0,0
211,3864,3746,0,49,1,0,2,28
1028,2696,2625,3,35,15,4,0,10
458,4701,4564,2,65,10,5,3,32
1342,497,1084,0,2,0,0,0,6
700,2101,1920,0,24,11,0,0,10
12,5893,6059,9,61,21,8,0,40
986,1449,6416,0,16,87,24,0,4
455,4094,16604,2,54,9,7,1,29
1166,820,1351,0,7,0,1,0,3
1304,6171,42,0,0,0,0,0,0
814,3245,3855,1,47,24,5,2,18
1128,9123,9609,1,83,6,1,4,67
1309,2895,3264,6,48,40,20,6,29
1284,1739,4189,0,0,14,21,0,0
669,5704,6146,1,97,9,2,1,51
603,1835,1811,0,31,5,0,0,8
327,716,578,0,9,0,0,0,2
335,3509,12938,0,42,1,0,0,28
940,2319,2703,2,34,30,0,0,31
806,3505,3718,3,43,32,5,6,30
929,2271,2457,0,5,51,0,0,0
927,7599,7274,2,63,96,8,1,26
404,1707,1050,0,11,0,0,0,3
124,13027,12811,5,147,53,13,10,57
549,2413,2217,0,23,2,0,0,27
800,19713,26754,5,114,330,20,7,32
985,24417,20655,5,126,181,51,2,90
356,698,610,0,11,0,0,0,2
1052,2609,2968,1,20,7,3,5,12
1246,347,636,0,2,0,0,0,0
1204,2721,2477,0,30,0,3,0,18
338,1345,1656,0,22,0,0,0,12
93,4902,5032,0,65,7,0,5,44
1140,10737,23688,6,49,166,13,15,40
723,2444,8230,3,34,5,1,1,20
727,7984,7876,2,121,15,9,4,69
31,5407,5803,5,72,1,6,3,23
177,9243,9442,3,123,9,2,4,77
375,429,1179,0,4,0,0,0,1
1253,5564,5840,1,86,7,1,2,51
122,3200,3434,0,50,7,0,1,26
770,918,8177,0,5,0,0,0,5
1193,748,1261,0,7,0,2,0,6
1163,1552,2316,1,18,0,0,1,16
1037,4822,5052,0,52,45,1,5,5
53,10846,11570,6,100,19,1,5,56
922,8472,6983,1,56,105,5,3,29
746,1077,1422,0,15,0,0,0,11
408,77,1883156,0,0,0,0,0,0
547,1414,709821,0,13,0,2,1,10
209,11677,11563,8,155,12,3,0,81
1238,4542,4676,0,55,6,2,0,36
94,1704,1479,0,20,2,0,1,9
1337,4492,4143,1,35,5,0,0,31
597,4681,4548,2,53,7,5,2,29
361,694,710,0,13,0,1,0,0
884,1401,1872,0,15,7,2,0,14
876,14373,8135,2,83,63,7,0,52
741,11266,2057,0,28,0,0,0,14
1244,1612,1761,0,20,7,1,0,16
625,1676,1333,0,15,0,0,0,6
498,4131,4747,1,55,3,1,0,30
1160,1926,1950,0,14,0,0,0,20
793,7953,7831,4,108,12,2,8,74
728,1967,2084,0,36,5,1,1,12
200,2921,3378,0,36,1,0,0,22
395,528,630553,0,5,0,1,0,5
1198,5753,6200,3,69,16,3,6,50
1153,2704,2744,0,34,3,0,0,10
1333,3901,4199,0,37,14,3,0,28
163,1851,1516,0,20,2,0,0,8
953,10195,11747,0,44,130,3,0,22
322,2848,2419,2,20,1,0,0,21
535,1644,1341,2,24,2,0,0,3
1258,6092,10702,4,38,5,3,0,30
170,1497,1623,0,21,4,0,0,8
1026,1385252,3986,3,33,44,4,1,12
394,1973,2005,0,25,1,0,1,11
636,7999,8426,2,94,13,4,1,43
596,3741,3992,3,73,16,1,2,25
350,2489,2289,0,25,4,6,1,13
634,3579,3922,5,60,8,0,1,26
632,40607,39062,15,476,73,30,4,302
511,2336,2651,3,21,3,1,5,20
96,5755,5456,0,59,2,1,1,41
610,642,725,0,12,0,0,0,5
522,8217,757,0,10,0,0,3,3
685,2531,2664,0,20,3,0,0,11
519,138,272,0,2,1,1,0,0
527,462,857,0,4,1,0,0,3
1283,520,1881171,0,0,2,3,0,0
810,5557,6316,4,114,19,2,9,30
440,3283,4037,0,48,11,4,4,23
830,1378,14035,0,16,0,0,0,11
895,38890,45661,10,103,403,45,31,64
1144,11188,11748,5,135,128,18,16,45
1184,926,1516,0,8,10,0,0,4
850,3300,3856,0,39,9,3,2,13
702,2234,2407,4,27,4,0,0,20
1029,3570,2877,0,40,15,3,2,14
1170,864,819,0,5,0,0,0,6
545,1391,1806,2,20,0,0,0,13
481,5887,5916,2,83,10,3,4,46
584,1881,2136,1,20,0,0,0,7
571,16926,1412,3,6,3,1,1,6
943,9294,8581,4,42,114,2,0,19
731,3760,3671,3,61,10,2,1,24
1061,819,710,0,5,2,1,0,8
628,19687,20446,13,275,29,6,6,149
2,10716,10514,12,105,28,20,19,54
1347,1895,1124,0,10,7,0,0,4
1101,948,957,1,7,16,2,3,1
960,7340,7530,4,57,45,4,0,35
359,670,713,0,5,0,0,1,0
619,1519,1815,0,30,0,1,0,10
1289,10034,11293,9,117,31,10,10,76
1022,1412514,653,0,5,3,0,0,5
605,4181,3657,0,57,6,1,2,29
544,4015,3844,1,48,0,4,0,26
388,4215,4233,3,65,3,4,0,58
307,4481,3603,1,44,1,2,3,16
1104,30000,33742,3,43,229,12,9,27
981,2269,3077,1,37,36,4,0,2
4000,1458602,1452502,392,290,858,1064,674,253
766,5426,5468,0,49,6,2,2,35
780,8951,14661,7,120,28,17,12,64
1142,1899,17412,0,5,55,1,0,0
454,3015,2975,0,45,7,1,2,16
